Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.5523368710000796,-74.15892508199994;"{""coordinates"": [-74.15892508199994, 4.5523368710000796], ""type"": ""Point""}";07260216;Centro Educativo Distrital Paraíso Mirador;7;26;CR 27B No. 71C-12 SUR;7921215;http://www.sedbogota.edu.co/
4.591689604000067,-74.18202993499995;"{""coordinates"": [-74.18202993499995, 4.591689604000067], ""type"": ""Point""}";07260224;Centro Educativo Distrital San Isidro Labrador;7;26;CR 95A No. 59A-15 SUR;;http://www.sedbogota.edu.co/
4.555499035000082,-74.14785470499993;"{""coordinates"": [-74.14785470499993, 4.555499035000082], ""type"": ""Point""}";07260232;Colegio Distrital Educativo Básica y Media Compartir Meissen;7;26;CR 18X No. 68A-02 SUR;7172363;http://www.sedbogota.edu.co/
4.615181576000055,-74.06787632099991;"{""coordinates"": [-74.06787632099991, 4.615181576000055], ""type"": ""Point""}";07260252;Colegio Distrital Policarpa Salavarrieta;7;26;CL 28 No. 5A-06;3341965;http://www.sedbogota.edu.co/
4.56154353800008,-74.08851974899994;"{""coordinates"": [-74.08851974899994, 4.56154353800008], ""type"": ""Point""}";07260254;Centro Educativo Distrital Santa Inés Sur Oriental;7;26;CR 5 ESTE No. 29A-25 SUR;3645235;http://www.sedbogota.edu.co/
4.527952710000079,-74.08727972499992;"{""coordinates"": [-74.08727972499992, 4.527952710000079], ""type"": ""Point""}";07260264;Centro Educativo Distrital Nueva Delhi;7;26;DG 60B SUR No. 14A-33 ESTE;;http://www.sedbogota.edu.co/
4.563639685000054,-74.08972350099992;"{""coordinates"": [-74.08972350099992, 4.563639685000054], ""type"": ""Point""}";07260268;Centro Educativo Distrital José María Córdoba;7;26;CL 28 SUR No. 1A-37 ESTE;;http://www.sedbogota.edu.co/
4.573909683000068,-74.09008603399991;"{""coordinates"": [-74.09008603399991, 4.573909683000068], ""type"": ""Point""}";07260281;Colegio Distrital José Félix Restrepo;7;26;CR 6 No. 18A-20 SUR;2728404;http://www.sedbogota.edu.co/
4.544079325000041,-74.08922391199991;"{""coordinates"": [-74.08922391199991, 4.544079325000041], ""type"": ""Point""}";07260291;Centro Educativo Distrital República de Israel;7;26;CL 44 SUR No. 8B-31 ESTE;;http://www.sedbogota.edu.co/
4.541023963000043,-74.0890350219999;"{""coordinates"": [-74.0890350219999, 4.541023963000043], ""type"": ""Point""}";07260292;Centro Educativo Distrital Nueva Gloria;7;26;DG 47 SUR No. 12A-23 ESTE;3633499;http://www.sedbogota.edu.co/
